學年度,學校,校系代碼,校系名稱,是否外加,招生名額,錄取人數,第一輪錄取人數,第一輪在校排名%,第二輪錄取人數,第二輪在校排名%,國文檢定,英文檢定,數A檢定,數B檢定,社會檢定,自然檢定,英聽檢定
115,國立中興大學,00315,應用數學系應用數學組【外加】,True,2,0.0,,,,,均標,均標,前標,,,前標,
115,國立中興大學,00316,應用數學系數據科學與計算組,False,4,4.0,,,4.0,22.0,均標,均標,前標,,,前標,
115,國立中興大學,00316,應用數學系數據科學與計算組【外加】,True,2,0.0,,,,,均標,均標,前標,,,前標,
115,國立中興大學,00317,機械工程學系,False,14,14.0,14.0,11.0,,,均標,均標,前標,,,前標,
115,國立中興大學,00317,機械工程學系【外加】,True,2,0.0,,,,,均標,均標,前標,,,前標,
115,國立中興大學,00318,土木工程學系,False,19,17.0,2.0,22.0,15.0,28.0,均標,均標,前標,,,前標,
115,國立中興大學,00318,土木工程學系【外加】,True,2,0.0,,,,,均標,均標,前標,,,前標,
115,國立中興大學,00319,環境工程學系,False,20,20.0,16.0,21.0,4.0,6.0,均標,均標,均標,,,前標,
115,國立中興大學,00319,環境工程學系【外加】,True,2,1.0,1.0,23.0,,,均標,均標,均標,,,前標,
115,國立中興大學,00320,化學工程學系,False,8,8.0,8.0,7.0,,,均標,前標,前標,,,前標,
115,國立中興大學,00320,化學工程學系【外加】,True,1,0.0,,,,,均標,前標,前標,,,前標,
115,國立中興大學,00321,材料科學與工程學系,False,12,12.0,12.0,5.0,,,前標,前標,前標,,,前標,
115,國立中興大學,00321,材料科學與工程學系【外加】,True,2,0.0,,,,,前標,前標,前標,,,前標,
115,國立中興大學,00322,智慧創意工程學士學位學程,False,2,2.0,1.0,2.0,1.0,6.0,均標,前標,前標,,,均標,
115,國立中興大學,00323,電機工程學系,False,15,15.0,15.0,3.0,,,均標,前標,前標,,,前標,
115,國立中興大學,00323,電機工程學系【外加】,True,2,0.0,,,,,均標,前標,前標,,,前標,
115,國立中興大學,00324,資訊工程學系,False,8,8.0,6.0,19.0,2.0,7.0,前標,前標,前標,,,前標,
115,國立中興大學,00324,資訊工程學系【外加】,True,1,0.0,,,,,前標,前標,前標,,,前標,
115,國立中興大學,00325,電機資訊學院學士班,False,7,7.0,7.0,5.0,,,均標,前標,前標,,,前標,
115,國立中興大學,00326,生物產業機電工程學系,False,9,9.0,9.0,3.0,,,均標,均標,均標,,,均標,B級
115,國立中興大學,00326,生物產業機電工程學系【外加】,True,2,0.0,,,,,均標,均標,均標,,,均標,B級
115,國立中興大學,00327,水土保持學系,False,9,9.0,9.0,24.0,,,均標,均標,均標,,,均標,
115,國立中興大學,00327,水土保持學系【外加】,True,2,0.0,,,,,均標,均標,均標,,,均標,
115,國立中興大學,00328,食品暨應用生物科技學系,False,10,10.0,4.0,17.0,6.0,10.0,均標,前標,前標,前標,,前標,
115,國立中興大學,00328,食品暨應用生物科技學系【外加】,True,2,0.0,,,,,均標,前標,前標,前標,,前標,
115,國立中興大學,00329,農藝學系,False,8,8.0,4.0,17.0,4.0,8.0,均標,均標,均標,均標,,均標,
115,國立中興大學,00329,農藝學系【外加】,True,2,0.0,,,,,均標,均標,均標,均標,,均標,
115,國立中興大學,00330,園藝學系,False,8,8.0,6.0,21.0,2.0,5.0,均標,均標,,均標,,均標,
115,國立中興大學,00330,園藝學系【外加】,True,2,0.0,,,,,均標,均標,,均標,,均標,
115,國立中興大學,00331,森林學系林學組,False,10,10.0,6.0,8.0,4.0,5.0,均標,均標,,均標,,均標,
115,國立中興大學,00331,森林學系林學組【外加】,True,1,0.0,,,,,均標,均標,,均標,,均標,
115,國立中興大學,00332,森林學系木材科學組,False,10,10.0,9.0,21.0,1.0,5.0,均標,均標,,均標,,均標,
115,國立中興大學,00332,森林學系木材科學組【外加】,True,1,0.0,,,,,均標,均標,,均標,,均標,
115,國立中興大學,00333,植物病理學系,False,8,7.0,,,7.0,19.0,均標,前標,均標,,,前標,
115,國立中興大學,00333,植物病理學系【外加】,True,2,0.0,,,,,均標,前標,均標,,,前標,
115,國立中興大學,00334,昆蟲學系,False,5,5.0,5.0,13.0,,,均標,均標,均標,均標,,均標,
115,國立中興大學,00334,昆蟲學系【外加】,True,2,0.0,,,,,均標,均標,均標,均標,,均標,
115,國立中興大學,00335,動物科學系,False,15,15.0,2.0,9.0,13.0,14.0,均標,均標,均標,,,前標,B級
115,國立中興大學,00335,動物科學系【外加】,True,2,0.0,,,,,均標,均標,均標,,,前標,B級
115,國立中興大學,00336,土壤環境科學系,False,7,7.0,7.0,8.0,,,,均標,均標,均標,,均標,B級
115,國立中興大學,00336,土壤環境科學系【外加】,True,2,0.0,,,,,,均標,均標,均標,,均標,
115,國立中興大學,00337,生物科技學士學位學程,False,4,4.0,2.0,8.0,2.0,5.0,均標,前標,均標,均標,,前標,
115,國立中興大學,00337,生物科技學士學位學程【外加】,True,1,1.0,1.0,26.0,,,均標,前標,均標,均標,,前標,
115,國立中興大學,00338,景觀與遊憩學士學位學程,False,3,3.0,3.0,8.0,,,均標,均標,均標,均標,,均標,
115,國立中興大學,00338,景觀與遊憩學士學位學程【外加】,True,1,0.0,,,,,均標,均標,均標,均標,,均標,
115,國立中興大學,00339,國際農企業學士學位學程,False,1,1.0,,,1.0,7.0,,前標,均標,均標,,均標,
115,國立中興大學,00339,國際農企業學士學位學程【外加】,True,1,0.0,,,,,,前標,均標,均標,,均標,
115,國立中興大學,00340,生命科學系,False,20,20.0,,,20.0,27.0,,前標,均標,,,前標,
115,國立中興大學,00340,生命科學系【外加】,True,3,0.0,,,,,,前標,均標,,,前標,
115,國立中興大學,00341,獸醫學系,False,9,9.0,9.0,2.0,,,均標,前標,均標,,,前標,B級
115,國立成功大學,00401,中國文學系,False,8,8.0,5.0,14.0,3.0,7.0,頂標,均標,,,前標,,
115,國立成功大學,00402,外國語文學系,False,7,7.0,5.0,20.0,2.0,4.0,前標,頂標,,,均標,,A級
115,國立成功大學,00403,歷史學系,False,8,8.0,,,8.0,16.0,前標,前標,,,前標,,A級
115,國立成功大學,00403,歷史學系【外加】,True,1,0.0,,,,,前標,前標,,,前標,,
115,國立成功大學,00404,台灣文學系,False,8,8.0,,,8.0,13.0,前標,前標,,均標,前標,,
115,國立成功大學,00405,企業管理學系,False,10,10.0,10.0,1.0,,,均標,前標,,均標,,,
115,國立成功大學,00406,會計學系,False,8,8.0,8.0,5.0,,,均標,前標,均標,,均標,,
115,國立成功大學,00406,會計學系【外加】,True,1,0.0,,,,,均標,前標,均標,,均標,,
115,國立成功大學,00407,政治學系,False,9,9.0,9.0,3.0,,,均標,均標,均標,均標,均標,,
115,國立成功大學,00408,經濟學系,False,12,12.0,5.0,6.0,7.0,5.0,前標,均標,前標,,均標,,
115,國立成功大學,00408,經濟學系【外加】,True,1,0.0,,,,,前標,均標,前標,,均標,,
115,國立成功大學,00409,法律學系,False,7,7.0,4.0,7.0,3.0,3.0,頂標,頂標,,均標,均標,,
115,國立成功大學,00409,法律學系【外加】,True,2,0.0,,,,,頂標,頂標,,均標,均標,,
115,國立成功大學,00410,數學系,False,8,8.0,8.0,3.0,,,,均標,前標,,,均標,
115,國立成功大學,00411,物理學系,False,6,6.0,6.0,1.0,,,均標,均標,均標,,,均標,
115,國立成功大學,00411,物理學系【外加】,True,1,1.0,1.0,2.0,,,均標,均標,均標,,,均標,
115,國立成功大學,00412,化學系,False,8,8.0,,,8.0,3.0,均標,前標,前標,,,前標,
115,國立成功大學,00412,化學系【外加】,True,1,0.0,,,,,均標,前標,前標,,,前標,
115,國立成功大學,00413,地球科學系,False,9,9.0,9.0,5.0,,,均標,均標,均標,,,前標,
115,國立成功大學,00413,地球科學系【外加】,True,1,0.0,,,,,均標,均標,均標,,,前標,
115,國立成功大學,00414,光電科學與工程學系,False,10,10.0,10.0,3.0,,,均標,前標,前標,,,前標,
115,國立成功大學,00414,光電科學與工程學系【外加】,True,2,1.0,1.0,11.0,,,均標,前標,前標,,,前標,
115,國立成功大學,00415,機械工程學系,False,24,24.0,23.0,7.0,1.0,1.0,均標,均標,前標,,,前標,
115,國立成功大學,00415,機械工程學系【外加】,True,1,1.0,1.0,4.0,,,均標,均標,前標,,,前標,
115,國立成功大學,00416,化學工程學系,False,19,19.0,19.0,13.0,,,,前標,前標,,,前標,
115,國立成功大學,00417,材料科學及工程學系,False,17,17.0,17.0,2.0,,,前標,前標,前標,,,前標,
115,國立成功大學,00418,資源工程學系,False,8,8.0,,,8.0,16.0,均標,前標,前標,,,前標,
115,國立成功大學,00418,資源工程學系【外加】,True,2,0.0,,,,,均標,前標,前標,,,前標,
115,國立成功大學,00419,土木工程學系,False,13,13.0,1.0,3.0,12.0,8.0,,前標,前標,,,前標,
115,國立成功大學,00420,水利及海洋工程學系,False,9,6.0,1.0,2.0,5.0,18.0,均標,均標,前標,,,前標,
115,國立成功大學,00420,水利及海洋工程學系【外加】,True,2,0.0,,,,,均標,均標,前標,,,前標,
115,國立成功大學,00421,工程科學系,False,8,8.0,8.0,2.0,,,均標,均標,前標,,,前標,
115,國立成功大學,00421,工程科學系【外加】,True,1,0.0,,,,,均標,均標,前標,,,前標,
115,國立成功大學,00422,系統及船舶機電工程學系,False,6,6.0,,,6.0,6.0,均標,前標,前標,,,前標,
115,國立成功大學,00423,航空太空工程學系,False,8,8.0,4.0,6.0,4.0,3.0,,前標,前標,,,前標,
115,國立成功大學,00424,環境工程學系,False,8,8.0,3.0,5.0,5.0,7.0,均標,均標,前標,,,前標,
115,國立成功大學,00424,環境工程學系【外加】,True,1,0.0,,,,,均標,均標,前標,,,前標,
115,國立成功大學,00425,測量及空間資訊學系,False,10,10.0,10.0,2.0,,,均標,均標,均標,,,均標,
115,國立成功大學,00426,生物醫學工程學系,False,4,4.0,1.0,4.0,3.0,5.0,,前標,前標,,,前標,
