學年度,學校,校系代碼,校系名稱,是否外加,招生名額,錄取人數,第一輪錄取人數,第一輪在校排名%,第二輪錄取人數,第二輪在校排名%,國文檢定,英文檢定,數A檢定,數B檢定,社會檢定,自然檢定,英聽檢定,比序
113,國立屏東大學,03622,科學傳播學系,False,6,6.0,3.0,36.0,3.0,24.0,底標,底標,,,,底標,,"[{'name': '在校學業', 'r1': '36%', 'r2': '24%'}]"
113,國立屏東大學,03622,科學傳播學系【外加】,True,1,0.0,,,,,底標,底標,,,,底標,,"[{'name': '在校學業', 'r1': '34%', 'r2': None}]"
113,國立屏東大學,03623,電腦科學與人工智慧學系,False,8,8.0,8.0,34.0,,,,,後標,,,,,"[{'name': '在校學業', 'r1': '34%', 'r2': None}, {'name': '在校學業', 'r1': '25%', 'r2': None}]"
113,國立屏東大學,03624,智慧機器人學系,False,2,2.0,2.0,25.0,,,,,後標,,,,,"[{'name': '在校學業', 'r1': '25%', 'r2': None}]"
113,國立屏東大學,03625,電腦與通訊學系,False,3,3.0,3.0,20.0,,,,後標,後標,,,,,"[{'name': '在校學業', 'r1': '20%', 'r2': None}]"
113,國立屏東大學,03625,電腦與通訊學系【外加】,True,5,0.0,,,,,,後標,後標,,,,,"[{'name': '在校學業', 'r1': '11%', 'r2': None}]"
113,國立屏東大學,03626,資訊工程學系,False,5,5.0,5.0,11.0,,,,後標,後標,,,,,"[{'name': '在校學業', 'r1': '11%', 'r2': None}]"
113,國立屏東大學,03626,資訊工程學系【外加】,True,1,0.0,,,,,,後標,後標,,,,,"[{'name': '在校學業', 'r1': '37%', 'r2': None}]"
113,國立屏東大學,03627,視覺藝術學系美術組,False,4,4.0,4.0,37.0,,,,,,,,,,"[{'name': '在校學業', 'r1': '37%', 'r2': None}]"
113,國立屏東大學,03627,視覺藝術學系美術組【外加】,True,1,0.0,,,,,,,,,,,,
113,國立臺東大學,03801,全校不分系學士學位學程,False,2,2.0,2.0,19.0,,,底標,,,,,,,"[{'name': '在校學業', 'r1': '19%', 'r2': None}, {'name': '在校學業', 'r1': '18%', 'r2': None}]"
113,國立臺東大學,03802,教育學系,False,8,8.0,8.0,18.0,,,後標,,,,,,,"[{'name': '在校學業', 'r1': '18%', 'r2': None}, {'name': '在校學業', 'r1': '40%', 'r2': '49%'}]"
113,國立臺東大學,03803,文化資源與休閒產業學系,False,8,8.0,5.0,40.0,3.0,49.0,後標,,,,,,,"[{'name': '在校學業', 'r1': '40%', 'r2': '49%'}, {'name': '學測國文', 'r1': None, 'r2': '11'}, {'name': '在校學業', 'r1': '48%', 'r2': None}]"
113,國立臺東大學,03804,幼兒教育學系,False,6,6.0,6.0,48.0,,,均標,,,,,,,"[{'name': '在校學業', 'r1': '48%', 'r2': None}]"
113,國立臺東大學,03804,幼兒教育學系【外加】,True,2,1.0,1.0,34.0,,,均標,,,,,,,"[{'name': '在校學業', 'r1': '34%', 'r2': None}]"
113,國立臺東大學,03805,特殊教育學系,False,8,8.0,7.0,46.0,1.0,37.0,後標,,,,,,,"[{'name': '在校學業', 'r1': '46%', 'r2': '37%'}, {'name': '在校學業', 'r1': '22%', 'r2': None}]"
113,國立臺東大學,03806,數位媒體與文教產業學系,False,5,5.0,5.0,22.0,,,後標,,,,,,,"[{'name': '在校學業', 'r1': '22%', 'r2': None}, {'name': '在校學業', 'r1': '46%', 'r2': '28%'}]"
113,國立臺東大學,03807,英美語文學系,False,11,11.0,8.0,46.0,3.0,28.0,,後標,,,,,,"[{'name': '在校學業', 'r1': '46%', 'r2': '28%'}]"
113,國立臺東大學,03807,英美語文學系【外加】,True,2,0.0,,,,,,後標,,,,,,
113,國立臺東大學,03808,華語文學系,False,13,8.0,4.0,41.0,4.0,49.0,後標,,,,,,,"[{'name': '在校學業', 'r1': '41%', 'r2': '49%'}]"
113,國立臺東大學,03808,華語文學系【外加】,True,1,0.0,,,,,後標,,,,,,,"[{'name': '在校學業', 'r1': '46%', 'r2': '50%'}]"
113,國立臺東大學,03809,公共與文化事務學系,False,13,12.0,6.0,46.0,6.0,50.0,,,,,均標,,,"[{'name': '在校學業', 'r1': '46%', 'r2': '50%'}]"
113,國立臺東大學,03809,公共與文化事務學系【外加】,True,1,0.0,,,,,,,,,均標,,,"[{'name': '在校學業', 'r1': '50%', 'r2': '42%'}]"
113,國立臺東大學,03810,應用數學系,False,13,13.0,8.0,50.0,5.0,42.0,,,底標,,,,,"[{'name': '在校學業', 'r1': '50%', 'r2': '42%'}]"
113,國立臺東大學,03810,應用數學系【外加】,True,2,0.0,,,,,,,底標,,,,,
113,國立臺東大學,03811,資訊管理學系,False,12,12.0,12.0,39.0,,,,底標,,,,,,"[{'name': '在校學業', 'r1': '39%', 'r2': None}]"
113,國立臺東大學,03811,資訊管理學系【外加】,True,2,0.0,,,,,,底標,,,,,,"[{'name': '在校學業', 'r1': '50%', 'r2': '40%'}]"
113,國立臺東大學,03812,應用科學系化學及奈米科學組,False,14,14.0,12.0,50.0,2.0,40.0,,,,,,後標,,"[{'name': '在校學業', 'r1': '50%', 'r2': '40%'}, {'name': '在校學業', 'r1': '37%', 'r2': None}]"
113,國立臺東大學,03812,應用科學系化學及奈米科學組【外加】,True,2,1.0,1.0,37.0,,,,,,,,後標,,"[{'name': '在校學業', 'r1': '37%', 'r2': None}]"
113,國立臺東大學,03813,應用科學系應用物理組,False,14,14.0,5.0,49.0,9.0,42.0,,,,,,後標,,"[{'name': '在校學業', 'r1': '49%', 'r2': '42%'}]"
113,國立臺東大學,03813,應用科學系應用物理組【外加】,True,2,0.0,,,,,,,,,,後標,,"[{'name': '在校學業', 'r1': '35%', 'r2': None}]"
113,國立臺東大學,03814,資訊工程學系,False,30,30.0,30.0,35.0,,,,,底標,,,,,"[{'name': '在校學業', 'r1': '35%', 'r2': None}]"
113,國立臺東大學,03814,資訊工程學系【外加】,True,5,0.0,,,,,,,底標,,,,,"[{'name': '在校學業', 'r1': '46%', 'r2': None}]"
113,國立臺東大學,03815,綠能與資訊科技學系,False,10,10.0,10.0,46.0,,,,,,,,底標,,"[{'name': '在校學業', 'r1': '46%', 'r2': None}]"
113,國立臺東大學,03816,身心整合與運動休閒產業學系,False,2,2.0,2.0,44.0,,,底標,,,,,,,"[{'name': '在校學業', 'r1': '44%', 'r2': None}]"
